github_id,name_with_owner,url,stars,last_crawled
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,438926,2025-11-16 19:45:25.646929
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,432280,2025-11-16 19:45:25.646975
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,https://github.com/sindresorhus/awesome,415186,2025-11-16 19:45:25.646993
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,378882,2025-11-16 19:45:25.647003
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,376934,2025-11-16 19:45:25.647012
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,343721,2025-11-16 19:45:25.647022
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,333393,2025-11-16 19:45:25.647030
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,326607,2025-11-16 19:45:25.647037
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996icu/996.ICU,https://github.com/996icu/996.ICU,274823,2025-11-16 19:45:25.647045
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,https://github.com/vinta/awesome-python,269607,2025-11-16 19:45:25.647053
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,258450,2025-11-16 19:45:25.647061
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,250022,2025-11-16 19:45:25.647070
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,facebook/react,https://github.com/facebook/react,240633,2025-11-16 19:45:25.647077
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,213187,2025-11-16 19:45:25.647085
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vuejs/vue,https://github.com/vuejs/vue,209680,2025-11-16 19:45:25.647093
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,torvalds/linux,https://github.com/torvalds/linux,207221,2025-11-16 19:45:25.647100
MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,ossu/computer-science,https://github.com/ossu/computer-science,197748,2025-11-16 19:45:25.647108
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,194107,2025-11-16 19:45:25.647116
MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,193947,2025-11-16 19:45:25.647123
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,192444,2025-11-16 19:45:25.647131
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,183822,2025-11-16 19:45:25.647154
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,182858,2025-11-16 19:45:25.647162
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,182785,2025-11-16 19:45:25.647169
R_kgDOJKSTjA,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,179732,2025-11-16 19:45:25.647176
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,microsoft/vscode,https://github.com/microsoft/vscode,178611,2025-11-16 19:45:25.647184
MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,174771,2025-11-16 19:45:25.647192
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter/flutter,https://github.com/flutter/flutter,173913,2025-11-16 19:45:25.647200
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,twbs/bootstrap,https://github.com/twbs/bootstrap,173704,2025-11-16 19:45:25.647207
MDEwOlJlcG9zaXRvcnkxMDYyODk3,github/gitignore,https://github.com/github/gitignore,170719,2025-11-16 19:45:25.647215
MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==,jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,158782,2025-11-16 19:45:25.647222
R_kgDOH3JoLw,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,158248,2025-11-16 19:45:25.647230
MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,avelino/awesome-go,https://github.com/avelino/awesome-go,157642,2025-11-16 19:45:25.647237
MDEwOlJlcG9zaXRvcnkxOTMyMTU1NTQ=,n8n-io/n8n,https://github.com/n8n-io/n8n,156632,2025-11-16 19:45:25.647245
MDEwOlJlcG9zaXRvcnkyMzM0NzIxOTk=,massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,156290,2025-11-16 19:45:25.647253
R_kgDOJ0Z1Pg,ollama/ollama,https://github.com/ollama/ollama,156061,2025-11-16 19:45:25.647260
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,huggingface/transformers,https://github.com/huggingface/transformers,152573,2025-11-16 19:45:25.647267
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,152561,2025-11-16 19:45:25.647275
MDEwOlJlcG9zaXRvcnk2NDk4NDky,airbnb/javascript,https://github.com/airbnb/javascript,147806,2025-11-16 19:45:25.647282
MDEwOlJlcG9zaXRvcnkxMDM5NTIw,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,138806,2025-11-16 19:45:25.647289
R_kgDOI7jmAw,langflow-ai/langflow,https://github.com/langflow-ai/langflow,138402,2025-11-16 19:45:25.647297
R_kgDOIj6G7A,f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,136548,2025-11-16 19:45:25.647304
MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,vercel/next.js,https://github.com/vercel/next.js,135684,2025-11-16 19:45:25.647312
MDEwOlJlcG9zaXRvcnkzMDcyNjAyMDU=,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,135254,2025-11-16 19:45:25.647319
MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,134256,2025-11-16 19:45:25.647326
MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,133055,2025-11-16 19:45:25.647333
MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,131150,2025-11-16 19:45:25.647341
MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==,golang/go,https://github.com/golang/go,130860,2025-11-16 19:45:25.647348
MDEwOlJlcG9zaXRvcnkyNDE1NzYyNzA=,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,129823,2025-11-16 19:45:25.647355
MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,125782,2025-11-16 19:45:25.647363
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,microsoft/PowerToys,https://github.com/microsoft/PowerToys,125752,2025-11-16 19:45:25.647370
MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,facebook/react-native,https://github.com/facebook/react-native,124521,2025-11-16 19:45:25.647377
R_kgDOIPDwlg,langchain-ai/langchain,https://github.com/langchain-ai/langchain,119769,2025-11-16 19:45:25.647384
R_kgDOMCtNDQ,DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,119759,2025-11-16 19:45:25.647391
MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,electron/electron,https://github.com/electron/electron,119099,2025-11-16 19:45:25.647400
R_kgDOJVxJug,langgenius/dify,https://github.com/langgenius/dify,119008,2025-11-16 19:45:25.647407
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,118623,2025-11-16 19:45:25.647432
R_kgDOIXtSqw,krahets/hello-algo,https://github.com/krahets/hello-algo,118508,2025-11-16 19:45:25.647440
MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==,justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,115696,2025-11-16 19:45:25.647447
R_kgDOJ5JQIQ,sxyazi/yazi,https://github.com/sxyazi/yazi,29666,2025-11-16 19:46:41.777950
R_kgDOKdDCcw,open-webui/open-webui,https://github.com/open-webui/open-webui,115357,2025-11-16 19:45:25.647455
MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,115045,2025-11-16 19:45:25.647462
MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,nodejs/node,https://github.com/nodejs/node,114317,2025-11-16 19:45:25.647469
MDEwOlJlcG9zaXRvcnk5NDMxNDk=,d3/d3,https://github.com/d3/d3,111804,2025-11-16 19:45:25.647477
MDEwOlJlcG9zaXRvcnkyMzEyODM0NTI=,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,110462,2025-11-16 19:45:25.647484
MDEwOlJlcG9zaXRvcnk1NzYyMDE=,mrdoob/three.js,https://github.com/mrdoob/three.js,109383,2025-11-16 19:45:25.647491
MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios/axios,https://github.com/axios/axios,108221,2025-11-16 19:45:25.647498
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust-lang/rust,https://github.com/rust-lang/rust,107900,2025-11-16 19:45:25.647508
MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,microsoft/TypeScript,https://github.com/microsoft/TypeScript,106765,2025-11-16 19:45:25.647516
MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,denoland/deno,https://github.com/denoland/deno,105212,2025-11-16 19:45:25.647523
MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,104556,2025-11-16 19:45:25.647531
MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,facebook/create-react-app,https://github.com/facebook/create-react-app,103847,2025-11-16 19:45:25.647538
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,103646,2025-11-16 19:45:25.647545
MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==,godotengine/godot,https://github.com/godotengine/godot,103276,2025-11-16 19:45:25.647552
MDEwOlJlcG9zaXRvcnkyOTkzNTQyMDc=,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,102570,2025-11-16 19:45:25.647560
R_kgDOJxbR3A,microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,101863,2025-11-16 19:45:25.647567
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,microsoft/terminal,https://github.com/microsoft/terminal,100858,2025-11-16 19:45:25.647575
MDEwOlJlcG9zaXRvcnkxNTc2MTY4ODA=,iptv-org/iptv,https://github.com/iptv-org/iptv,100804,2025-11-16 19:45:25.647582
MDEwOlJlcG9zaXRvcnk1NTA3NjA2Mw==,Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,100759,2025-11-16 19:45:25.647597
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,fatedier/frp,https://github.com/fatedier/frp,100698,2025-11-16 19:45:25.647612
MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,100309,2025-11-16 19:45:25.647619
R_kgDONicYKA,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,100297,2025-11-16 19:45:25.647627
R_kgDOIuCgEw,shadcn-ui/ui,https://github.com/shadcn-ui/ui,99872,2025-11-16 19:45:25.647634
MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular/angular,https://github.com/angular/angular,99305,2025-11-16 19:45:25.647642
MDEwOlJlcG9zaXRvcnkxOTY3MDE2MTk=,tauri-apps/tauri,https://github.com/tauri-apps/tauri,98923,2025-11-16 19:45:25.647668
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,mui/material-ui,https://github.com/mui/material-ui,97297,2025-11-16 19:45:25.647675
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design/ant-design,https://github.com/ant-design/ant-design,96613,2025-11-16 19:45:25.647683
MDEwOlJlcG9zaXRvcnkyNDM5NTA0MDg=,Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,95843,2025-11-16 19:45:25.647690
R_kgDOODsgVw,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,95837,2025-11-16 19:45:25.647698
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch/pytorch,https://github.com/pytorch/pytorch,95099,2025-11-16 19:45:25.647705
MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,94681,2025-11-16 19:45:25.647712
MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,nvbn/thefuck,https://github.com/nvbn/thefuck,94679,2025-11-16 19:45:25.647731
MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==,neovim/neovim,https://github.com/neovim/neovim,94292,2025-11-16 19:45:25.647739
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,94240,2025-11-16 19:45:25.647746
MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94034,2025-11-16 19:45:25.647754
R_kgDOIygeJg,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,93714,2025-11-16 19:45:25.647765
MDEwOlJlcG9zaXRvcnk2MzUzOTA1NQ==,jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,93453,2025-11-16 19:45:25.647772
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93349,2025-11-16 19:45:25.647779
MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,92865,2025-11-16 19:45:25.647786
MDEwOlJlcG9zaXRvcnkyMTQ1ODcxOTM=,supabase/supabase,https://github.com/supabase/supabase,92861,2025-11-16 19:45:25.647794
MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,fastapi/fastapi,https://github.com/fastapi/fastapi,91975,2025-11-16 19:45:25.647801
R_kgDONs2Wmg,deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,91486,2025-11-16 19:45:25.647809
